id,user_id,date,movie_name,finished
1,2,2023-06-22,The Shawshank Redemption,1
2,1,2023-07-23,Shrek,0
3,4,2023-07-27,Fight Club,1
4,1,2023-08-23,Top Gun: Maverick,0
5,4,2023-08-24,Oppenheimer,0
6,4,2023-08-27,The Matrix,1
7,5,2023-09-07,Top Gun: Maverick,1
8,4,2023-09-10,The Shawshank Redemption,1
9,1,2023-09-12,Turning Red,1
10,1,2023-09-14,Spider-Man: No Way Home,1
11,5,2023-09-25,Frozen,1
12,5,2023-09-25,Nope,1
13,5,2023-09-30,Oppenheimer,1
14,1,2023-10-03,The Batman,1
15,4,2023-10-04,Black Panther,1
16,3,2023-10-05,The Grand Budapest Hotel,0
17,1,2023-10-07,Interstellar,1
18,1,2023-10-08,Dune,1
19,5,2023-10-13,Arrival,0
20,2,2023-11-01,Get Out,0
21,4,2023-11-05,Arrival,1
22,1,2023-11-06,Turning Red,1
23,3,2023-11-10,Oppenheimer,1
24,2,2023-11-11,The Matrix,1
25,1,2023-11-18,Frozen,1
26,4,2023-11-23,Us,1
27,3,2023-11-24,Shrek,1
28,5,2023-11-29,Avengers: Endgame,1
29,4,2023-12-05,La La Land,1
30,6,2023-12-05,WALL-E,0
31,1,2023-12-09,Bohemian Rhapsody,1
32,4,2023-12-10,Up,1
33,5,2023-12-15,Toy Story,1
34,6,2023-12-18,Inception,1
35,3,2023-12-27,Dune,0
36,3,2023-12-28,Big Hero 6,1
37,2,2023-12-28,Avengers: Endgame,0
38,5,2024-01-18,Gravity,1
39,8,2024-01-24,Arrival,1
40,5,2024-01-31,Turning Red,1
41,8,2024-01-31,Us,1
42,8,2024-01-31,The Lord of the Rings,1
43,6,2024-02-04,The Godfather,1
44,9,2024-02-13,Moonlight,0
45,1,2024-02-13,Avengers: Endgame,1
46,2,2024-02-15,Luca,1
47,8,2024-02-15,Us,1
48,9,2024-02-25,Big Hero 6,1
49,6,2024-03-01,Shrek,1
50,4,2024-03-04,The Grand Budapest Hotel,0
51,4,2024-03-05,The Social Network,1
52,4,2024-03-07,Gravity,1
53,8,2024-03-11,Her,0
54,1,2024-03-13,Moonlight,1
55,4,2024-03-18,Whiplash,1
56,5,2024-03-21,Luca,1
57,6,2024-03-24,Get Out,1
58,4,2024-03-27,Arrival,0
59,2,2024-03-30,The Shawshank Redemption,1
60,1,2024-04-03,Fight Club,1
61,4,2024-04-05,Forrest Gump,1
62,1,2024-04-07,A Star is Born,1
63,3,2024-04-08,Top Gun: Maverick,1
64,6,2024-04-11,Fight Club,1
65,12,2024-04-11,Get Out,1
66,8,2024-04-11,Dune,1
67,8,2024-04-14,Encanto,0
68,4,2024-04-16,The Matrix,1
69,4,2024-04-16,Bohemian Rhapsody,1
70,5,2024-04-21,Nope,1
71,4,2024-04-22,Gravity,1
72,12,2024-04-24,The Wolf of Wall Street,1
73,12,2024-04-26,Avengers: Endgame,1
74,5,2024-04-27,Joker,0
75,5,2024-04-27,The Grand Budapest Hotel,1
76,10,2024-05-01,Whiplash,1
77,8,2024-05-03,The Grand Budapest Hotel,1
78,12,2024-05-06,The Wolf of Wall Street,0
79,4,2024-05-07,Moana,0
80,2,2024-05-07,Shrek,1
81,1,2024-05-07,Black Panther,1
82,8,2024-05-07,Bohemian Rhapsody,1
83,12,2024-05-15,Moana,0
84,5,2024-05-17,Her,1
85,5,2024-05-18,Gravity,1
86,4,2024-05-20,Mad Max: Fury Road,1
87,1,2024-05-22,Us,0
88,9,2024-05-25,Titanic,1
89,1,2024-05-26,Up,1
90,12,2024-05-28,Dune,1
91,11,2024-05-30,The Matrix,0
92,12,2024-05-31,Moonlight,1
93,8,2024-06-04,Finding Nemo,1
94,3,2024-06-05,Spider-Man: No Way Home,1
95,9,2024-06-06,Get Out,0
96,4,2024-06-10,Fight Club,1
97,8,2024-06-14,Whiplash,1
98,9,2024-06-17,Moonlight,1
99,2,2024-06-17,Big Hero 6,0
100,12,2024-06-19,Toy Story,0
101,3,2024-06-20,La La Land,0
102,4,2024-06-22,Forrest Gump,1
103,4,2024-06-26,1917,0
104,10,2024-07-06,The Shape of Water,0
105,6,2024-07-07,Inception,1
106,12,2024-07-09,Coco,1
107,4,2024-07-16,Interstellar,1
108,4,2024-07-17,Top Gun: Maverick,0
