City,Month Name,Average Temperature,Average Sunshine Hours,Population,Record date
"Chicago, Jackson Blvd 2045 W, USA",January,32.54F,4.2,2695598,1-31-2019
"Chicago, Jackson Blvd 2045W, USA",February,34.52F,5,2695598,2-29-2019
"Chicago, Jackson Blvd 2045W, USA",March,44.60F,6.1,2695598,3-31-2O19
"Chicago, Jackson Blvd 2045W, USA",April,59.36F,7.1,2695598,4-30-2019
"Chicago, Jackson Blvd 2045W, USA",May,70.34F,8.9,2695598,5-31-2019
"Chicago, Jackson Blvd 2045W, USA",June,80.60F,10.1,2695598,6-30-2019
"Chicago, Jackson Blvd 2045W, USA",July,84.38F,10.4,2695598,7-31-2019
"Chicago, Jackson Blvd 2045W, USA",August,83.30F,9.4,2695598,8-31-2019
"Chicago, Jackson Blvd 2045W, USA",September,75.74F,7.9,2695598,9-30-2019
"Chicago, Jackson Blvd 2045W, USA",October,65.12F,6.8,2695598,10-31-2019
"Chicago, Jackson Blvd 2045W, USA",November,48.02F,4.1,2695598,11-30-2019
"Chicago, Jackson Blvd 2045W, USA",December,35.24F,3.5,2695598,12-31-2019
"Miami, Country Club Dr 3701 N, USA",January,75.20F,6.5,399457,1-31-2019
"Miami, Country Club Dr 3701 N, USA",February,78.26F,8.2,399457,2-28-2019
"Miami, Country Club Dr 3701 N, USA",March,79.16F,8.9,399457,3-31-2019
"Miami, Country Club Dr 3701 N, USA",April,82.40F,9.8,399457,4-30-2019
"Miami, Country Club Dr 3701 N, USA",May,85.28F,9.7,399457,5-31-2019
"Miami, Country Club Dr 3701 N, USA",June,87.62F,9.6,399457,6-30-2019
"Miami, Country Club Dr 3701 N, USA",July,89.06F,10,399457,7-31-2019
"Miami, Country Club Dr 3701 N, USA",August,89.06F,9.3,399457,8-31-2019
"Miami, Country Club Dr 3701 N, USA",September,87.80F,8.7,399457,9-30-2019
"Miami, Country Club Dr 3701 N, USA",October,84.56F,8.4,399457,10-31-2019
"Miami, Country Club Dr 3701 N, USA",November,80.42F,7.4,399457,11-30-2019
"Miami, Country Club Dr 3701 N, USA",December,76.64F,7,399457,12-31-2019
"Amsterdam, Glanshof 1e , Netherlands",Januari,"4,60C","1,4",864217,31.01.2019
"Amsterdam, Glanshof 1e , Netherlands",Februari,"5,40C","2,6",864217,28.02.2019
"Amsterdam, Glanshof 1e , Netherlands",Maart,"8,40C","3,5",864217,31.03.2019
"Amsterdam, Glanshof 1e , Netherlands",April,"11,90C","5,4",864217,30.04.2019
"Amsterdam, Glanshof 1e , Netherlands",Mei,"16,40C","6,9",864217,31.05.2019
"Amsterdam, Glanshof 1e , Netherlands",Juni,"19,20C","6,8",864217,30.06.2019
"Amsterdam, Glanshof 1e , Netherlands",Juli,"20,60C","6,5",864217,31.07.2019
"Amsterdam, Glanshof 1e , Netherlands",Augustus,"20,60C","6,2",864217,31.08.2019
"Amsterdam, Glanshof 1e , Netherlands",September,"18,20C","4,5",864217,30.09.2019
"Amsterdam, Glanshof 1e , Netherlands",Oktober,"14,20C","3,2",864217,31.10.2019
"Amsterdam, Glanshof 1e , Netherlands",November,"8,90C","1,8",864217,30.11.2019
"Amsterdam, Glanshof 1e , Netherlands",December,"5,80C","1,2",864217,31.12.2019
"Stuttgart, Filderbahnstr. 2, Germany",Januar,"2,40C","1,4",634830,31.1.2019
"Stuttgart, Filderbahnstr. 2, Germany",Februar,"4,60C","2,6",634830,28.2.2019
"Stuttgart, Filderbahnstr. 2, Germany",März,"9,50C",4,634830,31.3.2019
"Stuttgart, Filderbahnstr. 2, Germany",April,"14,10C","5,4",634830,30.4.2019
"Stuttgart, Filderbahnstr. 2, Germany",Mai,"18,60C","6,4",634830,31.5.2019
"Stuttgart, Filderbahnstr. 2, Germany",Juni,"21,80C","7,3",634830,30.6.2019
"Stuttgart, Filderbahnstr. 2, Germany",Juli,"24,10C","7,9",634830,31.7.2019
"Stuttgart, Filderbahnstr. 2, Germany",August,"23,30C","6,9",634830,31.8.2019
"Stuttgart, Filderbahnstr. 2, Germany",September,"20,10C","5,7",634830,30.9.2019
